Nb images:,5
Size:,640
posX,Image 1,,,,,,,,,,Image 2,,,,,,,,,,Image 3,,,,,,,,,,Image 4,,,,,,,,,,Image 5,,,,,,,,,,
,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,
14,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,16747,8,11,11,0.258065,0.174603,0.354839,0.743845,0.507937,0.354839,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,14602,7,8,10,0.225806,0.126984,0.322581,0.750873,0.606349,0.322581,
15,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,16748,8,11,12,0.258065,0.174603,0.387097,0.732129,0.548942,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,12554,6,8,10,0.193548,0.126984,0.322581,0.723386,0.606349,0.322581,
16,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,20811,10,10,11,0.322581,0.158730,0.354839,0.805918,0.552670,0.354839,16748,8,11,12,0.258065,0.174603,0.387097,0.732129,0.548942,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,12586,6,9,10,0.193548,0.142857,0.322581,0.713675,0.557143,0.322581,
17,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,20811,10,10,11,0.322581,0.158730,0.354839,0.805918,0.552670,0.354839,16747,8,11,11,0.258065,0.174603,0.354839,0.743845,0.507937,0.354839,24938,12,11,10,0.387097,0.174603,0.322581,0.883936,0.548942,0.387097,12554,6,8,10,0.193548,0.126984,0.322581,0.723386,0.606349,0.322581,
18,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,20811,10,10,11,0.322581,0.158730,0.354839,0.805918,0.552670,0.354839,18796,9,11,12,0.290323,0.174603,0.387097,0.757430,0.548942,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,12554,6,8,10,0.193548,0.126984,0.322581,0.723386,0.606349,0.322581,
19,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,18763,9,10,11,0.290323,0.158730,0.354839,0.778503,0.552670,0.354839,18796,9,11,12,0.290323,0.174603,0.387097,0.757430,0.548942,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,12554,6,8,10,0.193548,0.126984,0.322581,0.723386,0.606349,0.322581,
20,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,20811,10,10,11,0.322581,0.158730,0.354839,0.805918,0.552670,0.354839,16748,8,11,12,0.258065,0.174603,0.387097,0.732129,0.548942,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,12586,6,9,10,0.193548,0.142857,0.322581,0.713675,0.557143,0.322581,
21,22955,11,13,11,0.354839,0.206349,0.354839,0.833333,0.418470,0.354839,18794,9,11,10,0.290323,0.174603,0.322581,0.797001,0.458730,0.322581,16748,8,11,12,0.258065,0.174603,0.387097,0.732129,0.548942,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,14634,7,9,10,0.225806,0.142857,0.322581,0.743590,0.557143,0.322581,
22,22955,11,13,11,0.354839,0.206349,0.354839,0.833333,0.418470,0.354839,18794,9,11,10,0.290323,0.174603,0.322581,0.797001,0.458730,0.322581,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,14634,7,9,10,0.225806,0.142857,0.322581,0.743590,0.557143,0.322581,
23,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,14635,7,9,11,0.225806,0.142857,0.354839,0.731884,0.597403,0.354839,
24,24971,12,12,11,0.387097,0.190476,0.354839,0.860677,0.507937,0.387097,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,18796,9,11,12,0.290323,0.174603,0.387097,0.757430,0.548942,0.387097,22922,11,12,10,0.354839,0.190476,0.322581,0.866044,0.463203,0.354839,14635,7,9,11,0.225806,0.142857,0.354839,0.731884,0.597403,0.354839,
25,24971,12,12,11,0.387097,0.190476,0.354839,0.860677,0.507937,0.387097,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,18860,9,13,12,0.290323,0.206349,0.387097,0.744098,0.466931,0.387097,22953,11,13,9,0.354839,0.206349,0.290323,0.905747,0.418470,0.354839,14635,7,9,11,0.225806,0.142857,0.354839,0.731884,0.597403,0.354839,
26,27020,13,12,12,0.419355,0.190476,0.387097,0.856823,0.545788,0.419355,16746,8,11,10,0.258065,0.174603,0.322581,0.760669,0.458730,0.322581,18827,9,12,11,0.290323,0.190476,0.354839,0.767913,0.463203,0.354839,22953,11,13,9,0.354839,0.206349,0.290323,0.905747,0.418470,0.354839,14603,7,8,11,0.225806,0.126984,0.354839,0.738951,0.642136,0.354839,
27,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,18794,9,11,10,0.290323,0.174603,0.322581,0.797001,0.458730,0.322581,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,22953,11,13,9,0.354839,0.206349,0.290323,0.905747,0.418470,0.354839,16683,8,9,11,0.258065,0.142857,0.354839,0.757246,0.597403,0.354839,
28,27050,13,13,10,0.419355,0.206349,0.322581,0.909054,0.507937,0.419355,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,20844,10,11,12,0.322581,0.174603,0.387097,0.782731,0.548942,0.387097,22953,11,13,9,0.354839,0.206349,0.290323,0.905747,0.418470,0.354839,14635,7,9,11,0.225806,0.142857,0.354839,0.731884,0.597403,0.354839,
29,25002,12,13,10,0.387097,0.206349,0.322581,0.892823,0.466931,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,25002,12,13,10,0.387097,0.206349,0.322581,0.892823,0.466931,0.387097,16684,8,9,12,0.258065,0.142857,0.387097,0.745283,0.630952,0.387097,
30,22986,11,14,10,0.354839,0.222222,0.322581,0.873874,0.373737,0.354839,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,18860,9,13,12,0.290323,0.206349,0.387097,0.744098,0.466931,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,16652,8,8,12,0.258065,0.126984,0.387097,0.750656,0.671958,0.387097,
31,22954,11,13,10,0.354839,0.206349,0.322581,0.869540,0.418470,0.354839,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,14635,7,9,11,0.225806,0.142857,0.354839,0.731884,0.597403,0.354839,
32,25003,12,13,11,0.387097,0.206349,0.354839,0.863078,0.466931,0.387097,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,18827,9,12,11,0.290323,0.190476,0.354839,0.767913,0.463203,0.354839,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,14635,7,9,11,0.225806,0.142857,0.354839,0.731884,0.597403,0.354839,
33,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,16683,8,9,11,0.258065,0.142857,0.354839,0.757246,0.597403,0.354839,
34,26988,13,11,12,0.419355,0.174603,0.387097,0.855300,0.583639,0.419355,20842,10,11,10,0.322581,0.174603,0.322581,0.833333,0.458730,0.322581,20876,10,12,12,0.322581,0.190476,0.387097,0.778646,0.507937,0.387097,24969,12,12,9,0.387097,0.190476,0.290323,0.915365,0.507937,0.387097,16683,8,9,11,0.258065,0.142857,0.354839,0.757246,0.597403,0.354839,
35,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,20874,10,12,10,0.322581,0.190476,0.322581,0.833333,0.409524,0.322581,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,24969,12,12,9,0.387097,0.190476,0.290323,0.915365,0.507937,0.387097,16684,8,9,12,0.258065,0.142857,0.387097,0.745283,0.630952,0.387097,
36,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,20874,10,12,10,0.322581,0.190476,0.322581,0.833333,0.409524,0.322581,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,25001,12,13,9,0.387097,0.206349,0.290323,0.922568,0.466931,0.387097,16652,8,8,12,0.258065,0.126984,0.387097,0.750656,0.671958,0.387097,
37,25004,12,13,12,0.387097,0.206349,0.387097,0.833333,0.466931,0.387097,18794,9,11,10,0.290323,0.174603,0.322581,0.797001,0.458730,0.322581,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,25001,12,13,9,0.387097,0.206349,0.290323,0.922568,0.466931,0.387097,14635,7,9,11,0.225806,0.142857,0.354839,0.731884,0.597403,0.354839,
38,25004,12,13,12,0.387097,0.206349,0.387097,0.833333,0.466931,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,25002,12,13,10,0.387097,0.206349,0.322581,0.892823,0.466931,0.387097,16684,8,9,12,0.258065,0.142857,0.387097,0.745283,0.630952,0.387097,
39,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,18827,9,12,11,0.290323,0.190476,0.354839,0.767913,0.463203,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,24971,12,12,11,0.387097,0.190476,0.354839,0.860677,0.507937,0.387097,16653,8,8,13,0.258065,0.126984,0.419355,0.741389,0.697192,0.419355,
40,25036,12,14,12,0.387097,0.222222,0.387097,0.833333,0.425926,0.387097,18827,9,12,11,0.290323,0.190476,0.354839,0.767913,0.463203,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,24971,12,12,11,0.387097,0.190476,0.354839,0.860677,0.507937,0.387097,16652,8,8,12,0.258065,0.126984,0.387097,0.750656,0.671958,0.387097,
41,24972,12,12,12,0.387097,0.190476,0.387097,0.833333,0.507937,0.387097,18827,9,12,11,0.290323,0.190476,0.354839,0.767913,0.463203,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,25003,12,13,11,0.387097,0.206349,0.354839,0.863078,0.466931,0.387097,16684,8,9,12,0.258065,0.142857,0.387097,0.745283,0.630952,0.387097,
42,25003,12,13,11,0.387097,0.206349,0.354839,0.863078,0.466931,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,25002,12,13,10,0.387097,0.206349,0.322581,0.892823,0.466931,0.387097,16684,8,9,12,0.258065,0.142857,0.387097,0.745283,0.630952,0.387097,
43,25036,12,14,12,0.387097,0.222222,0.387097,0.833333,0.425926,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,18829,9,12,13,0.290323,0.190476,0.419355,0.739374,0.545788,0.419355,25003,12,13,11,0.387097,0.206349,0.354839,0.863078,0.466931,0.387097,16684,8,9,12,0.258065,0.142857,0.387097,0.745283,0.630952,0.387097,
44,22956,11,13,12,0.354839,0.206349,0.387097,0.803588,0.466931,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,18828,9,12,12,0.290323,0.190476,0.387097,0.751302,0.507937,0.387097,24970,12,12,10,0.387097,0.190476,0.322581,0.888021,0.507937,0.387097,16685,8,9,13,0.258065,0.142857,0.419355,0.736111,0.659341,0.419355,
45,22956,11,13,12,0.354839,0.206349,0.387097,0.803588,0.466931,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,20877,10,12,13,0.322581,0.190476,0.419355,0.762864,0.545788,0.419355,27050,13,13,10,0.419355,0.206349,0.322581,0.909054,0.507937,0.419355,16653,8,8,13,0.258065,0.126984,0.419355,0.741389,0.697192,0.419355,
46,25036,12,14,12,0.387097,0.222222,0.387097,0.833333,0.425926,0.387097,20907,10,13,11,0.322581,0.206349,0.354839,0.797126,0.418470,0.354839,20877,10,12,13,0.322581,0.190476,0.419355,0.762864,0.545788,0.419355,25002,12,13,10,0.387097,0.206349,0.322581,0.892823,0.466931,0.387097,16686,8,9,14,0.258065,0.142857,0.451613,0.728856,0.683673,0.451613,
47,25036,12,14,12,0.387097,0.222222,0.387097,0.833333,0.425926,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,20844,10,11,12,0.322581,0.174603,0.387097,0.782731,0.548942,0.387097,27082,13,14,10,0.419355,0.222222,0.322581,0.915152,0.470085,0.419355,16718,8,10,14,0.258065,0.158730,0.451613,0.723193,0.648526,0.451613,
48,22988,11,14,12,0.354839,0.222222,0.387097,0.800725,0.425926,0.387097,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,20876,10,12,12,0.322581,0.190476,0.387097,0.778646,0.507937,0.387097,27050,13,13,10,0.419355,0.206349,0.322581,0.909054,0.507937,0.419355,16685,8,9,13,0.258065,0.142857,0.419355,0.736111,0.659341,0.419355,
49,25036,12,14,12,0.387097,0.222222,0.387097,0.833333,0.425926,0.387097,20843,10,11,11,0.322581,0.174603,0.354839,0.803504,0.507937,0.354839,20876,10,12,12,0.322581,0.190476,0.387097,0.778646,0.507937,0.387097,25002,12,13,10,0.387097,0.206349,0.322581,0.892823,0.466931,0.387097,16686,8,9,14,0.258065,0.142857,0.451613,0.728856,0.683673,0.451613,
50,25036,12,14,12,0.387097,0.222222,0.387097,0.833333,0.425926,0.387097,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,20876,10,12,12,0.322581,0.190476,0.387097,0.778646,0.507937,0.387097,25034,12,14,10,0.387097,0.222222,0.322581,0.898551,0.425926,0.387097,16718,8,10,14,0.258065,0.158730,0.451613,0.723193,0.648526,0.451613,
51,25004,12,13,12,0.387097,0.206349,0.387097,0.833333,0.466931,0.387097,22892,11,11,12,0.354839,0.174603,0.387097,0.808032,0.548942,0.387097,18860,9,13,12,0.290323,0.206349,0.387097,0.744098,0.466931,0.387097,25034,12,14,10,0.387097,0.222222,0.322581,0.898551,0.425926,0.387097,16717,8,10,13,0.258065,0.158730,0.419355,0.730190,0.621490,0.419355,
52,27020,13,12,12,0.419355,0.190476,0.387097,0.856823,0.545788,0.419355,24940,12,11,12,0.387097,0.174603,0.387097,0.833333,0.548942,0.387097,18860,9,13,12,0.290323,0.206349,0.387097,0.744098,0.466931,0.387097,25002,12,13,10,0.387097,0.206349,0.322581,0.892823,0.466931,0.387097,16717,8,10,13,0.258065,0.158730,0.419355,0.730190,0.621490,0.419355,
53,27052,13,13,12,0.419355,0.206349,0.387097,0.858574,0.507937,0.419355,22924,11,12,12,0.354839,0.190476,0.387097,0.805990,0.507937,0.387097,18861,9,13,13,0.290323,0.206349,0.419355,0.732372,0.507937,0.419355,25003,12,13,11,0.387097,0.206349,0.354839,0.863078,0.466931,0.387097,16717,8,10,13,0.258065,0.158730,0.419355,0.730190,0.621490,0.419355,
54,27052,13,13,12,0.419355,0.206349,0.387097,0.858574,0.507937,0.419355,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,20877,10,12,13,0.322581,0.190476,0.419355,0.762864,0.545788,0.419355,29100,14,13,12,0.451613,0.206349,0.387097,0.877175,0.543084,0.451613,16718,8,10,14,0.258065,0.158730,0.451613,0.723193,0.648526,0.451613,
55,27053,13,13,13,0.419355,0.206349,0.419355,0.833333,0.507937,0.419355,20875,10,12,11,0.322581,0.190476,0.354839,0.800623,0.463203,0.354839,20876,10,12,12,0.322581,0.190476,0.387097,0.778646,0.507937,0.387097,27019,13,12,11,0.419355,0.190476,0.354839,0.880313,0.545788,0.419355,16718,8,10,14,0.258065,0.158730,0.451613,0.723193,0.648526,0.451613,
56,27053,13,13,13,0.419355,0.206349,0.419355,0.833333,0.507937,0.419355,20907,10,13,11,0.322581,0.206349,0.354839,0.797126,0.418470,0.354839,20876,10,12,12,0.322581,0.190476,0.387097,0.778646,0.507937,0.387097,27051,13,13,11,0.419355,0.206349,0.354839,0.883814,0.507937,0.419355,16718,8,10,14,0.258065,0.158730,0.451613,0.723193,0.648526,0.451613,
57,27117,13,15,13,0.419355,0.238095,0.419355,0.833333,0.432234,0.419355,22924,11,12,12,0.354839,0.190476,0.387097,0.805990,0.507937,0.387097,20909,10,13,13,0.322581,0.206349,0.419355,0.757612,0.507937,0.419355,27051,13,13,11,0.419355,0.206349,0.354839,0.883814,0.507937,0.419355,16718,8,10,14,0.258065,0.158730,0.451613,0.723193,0.648526,0.451613,
58,27052,13,13,12,0.419355,0.206349,0.387097,0.858574,0.507937,0.419355,22924,11,12,12,0.354839,0.190476,0.387097,0.805990,0.507937,0.387097,20876,10,12,12,0.322581,0.190476,0.387097,0.778646,0.507937,0.387097,29132,14,14,12,0.451613,0.222222,0.387097,0.880208,0.507937,0.451613,16751,8,11,15,0.258065,0.174603,0.483871,0.711645,0.639153,0.483871,
59,27053,13,13,13,0.419355,0.206349,0.419355,0.833333,0.507937,0.419355,20811,10,10,11,0.322581,0.158730,0.354839,0.805918,0.552670,0.354839,20844,10,11,12,0.322581,0.174603,0.387097,0.782731,0.548942,0.387097,29100,14,13,12,0.451613,0.206349,0.387097,0.877175,0.543084,0.451613,16751,8,11,15,0.258065,0.174603,0.483871,0.711645,0.639153,0.483871,
